user_pembeli_id,nama,kontak,lokasi
1,Asmadi Marpaung,+62-420-569-3496,Sorong
2,"Mala Damanik, S.Psi",+62 (932) 255-4174,Kota Administrasi Jakarta Timur
3,Wani Gunawan,+62-035-114-5991,Tangerang Selatan
4,Jaya Hastuti,+62 (971) 102-4088,Cimahi
5,Wawan Mulyani,+62-75-476-7052,Gorontalo
6,Taswir Kurniawan,(059) 504 0055,Padang Sidempuan
7,Sabrina Laksmiwati,+62 (061) 442-9982,Singkawang
8,Garang Nurdiyanti,081 481 3389,Payakumbuh
9,Cawisadi Simanjuntak,+62 (0420) 996-9220,Dumai
10,"drg. Puji Sihombing, S.Sos",+62 (501) 725-0580,Tegal
11,Bakiono Pradipta,0845689483,Mataram
12,Edi Hastuti,083 913 0045,Parepare
13,"Mala Latupono, S.Pd",(038) 254 6632,Prabumulih
14,Najwa Tampubolon,+62 (635) 044-6843,Kupang
15,Kadir Halim,0814188181,Pekanbaru
16,Michelle Rahimah,+62-23-694-0725,Jayapura
17,"Jaiman Susanti, M.Pd",+62-49-656-3098,Cirebon
18,"Purwa Rahimah, S.T.",+62-60-032-0528,Bitung
19,Vera Saragih,+62 (42) 085-3383,Surakarta
20,"Dr. Cinthia Najmudin, S.Farm",+62 (242) 483 1823,Surakarta
21,R.A. Maida Palastri,+62 (05) 213 7735,Singkawang
22,Empluk Hutasoit,0840096788,Surabaya
23,Nasab Nashiruddin,+62-011-109-3520,Parepare
24,R.A. Tira Mardhiyah,083 104 9509,Jayapura
25,Luwes Mangunsong,+62 (47) 208-9114,Prabumulih
26,Sakura Astuti,(0360) 053 1581,Semarang
27,drg. Rahmi Pradana,+62 (62) 300-3999,Denpasar
28,Bagya Laksmiwati,+62 (85) 972-6745,Parepare
29,Zahra Budiyanto,+62-0250-177-8794,Palu
30,"Nasim Wahyuni, S.E.I",+62 (091) 926 1553,Banda Aceh
31,"Makara Mardhiyah, S.Ked",+62 (77) 589 4541,Dumai
32,"Sutan Asman Nasyiah, M.TI.",+62-85-440-4589,Mojokerto
33,Aisyah Riyanti,+62 (099) 096 1163,Serang
34,Elisa Waluyo,+62 (76) 929 7597,Palopo
35,"Yono Oktaviani, S.Psi",+62 (76) 261-5327,Mojokerto
36,Joko Samosir,(0495) 805 2825,Batam
37,Cayadi Pradana,+62 (0275) 723 8102,Bitung
38,Qori Utami,+62 (024) 315-4748,Bau-Bau
39,Bagiya Mardhiyah,+62 (092) 365-9088,Sibolga
40,Atmaja Melani,+62 (0543) 853 6930,Prabumulih
41,Rahmat Winarno,+62-0086-477-2416,Dumai
42,Dt. Kayun Kuswandari,+62-701-284-3650,Tidore Kepulauan
43,Hendri Pratama,+62-0930-262-5292,Yogyakarta
44,Ir. Anastasia Aryani,+62 (082) 438 0106,Jayapura
45,"Ani Kuswoyo, M.M.",+62-046-314-1798,Pekalongan
46,Eja Hariyah,+62 (0647) 499 3862,Yogyakarta
47,Tirta Yulianti,+62-229-659-7629,Solok
48,Tgk. Kenari Mansur,+62 (810) 295 7383,Kotamobagu
49,Tantri Sihombing,+62 (649) 446-6284,Tebingtinggi
50,Maria Mansur,+62-0757-921-6833,Kendari
